symbol,exchange,datetime,open,high,low,close,volume,turnover,open_interest
c2611,DCE,2026-09-23 22:22:00,2175.0,2176.0,2175.0,2176.0,191.0,0.0,1179772.0
c2611,DCE,2026-09-23 22:23:00,2176.0,2176.0,2175.0,2176.0,325.0,0.0,1179740.0
c2611,DCE,2026-09-23 22:24:00,2176.0,2176.0,2175.0,2175.0,186.0,0.0,1179723.0
c2611,DCE,2026-09-23 22:25:00,2175.0,2176.0,2175.0,2175.0,283.0,0.0,1179699.0
c2611,DCE,2026-09-23 22:26:00,2175.0,2176.0,2175.0,2175.0,408.0,0.0,1179743.0
c2611,DCE,2026-09-23 22:27:00,2175.0,2177.0,2175.0,2177.0,4270.0,0.0,1179543.0
c2611,DCE,2026-09-23 22:28:00,2177.0,2177.0,2176.0,2176.0,267.0,0.0,1180675.0
c2611,DCE,2026-09-23 22:29:00,2176.0,2177.0,2176.0,2176.0,147.0,0.0,1180692.0
c2611,DCE,2026-09-23 22:30:00,2176.0,2177.0,2176.0,2177.0,138.0,0.0,1180740.0
c2611,DCE,2026-09-23 22:31:00,2177.0,2177.0,2176.0,2176.0,77.0,0.0,1180704.0
c2611,DCE,2026-09-23 22:32:00,2176.0,2177.0,2176.0,2177.0,59.0,0.0,1180741.0
c2611,DCE,2026-09-23 22:33:00,2177.0,2177.0,2176.0,2177.0,76.0,0.0,1180731.0
c2611,DCE,2026-09-23 22:34:00,2177.0,2177.0,2176.0,2177.0,221.0,0.0,1180721.0
c2611,DCE,2026-09-23 22:35:00,2177.0,2177.0,2176.0,2177.0,183.0,0.0,1180684.0
c2611,DCE,2026-09-23 22:36:00,2177.0,2177.0,2176.0,2176.0,296.0,0.0,1180713.0
c2611,DCE,2026-09-23 22:37:00,2176.0,2177.0,2176.0,2176.0,347.0,0.0,1180555.0
c2611,DCE,2026-09-23 22:38:00,2176.0,2177.0,2176.0,2176.0,205.0,0.0,1180605.0
c2611,DCE,2026-09-23 22:39:00,2176.0,2177.0,2175.0,2176.0,1925.0,0.0,1180577.0
c2611,DCE,2026-09-23 22:40:00,2176.0,2177.0,2176.0,2176.0,75.0,0.0,1180656.0
c2611,DCE,2026-09-23 22:41:00,2176.0,2177.0,2176.0,2176.0,134.0,0.0,1180617.0
c2611,DCE,2026-09-23 22:42:00,2176.0,2177.0,2176.0,2177.0,75.0,0.0,1180618.0
c2611,DCE,2026-09-23 22:43:00,2177.0,2177.0,2176.0,2176.0,104.0,0.0,1180601.0
c2611,DCE,2026-09-23 22:44:00,2176.0,2177.0,2176.0,2176.0,67.0,0.0,1180633.0
c2611,DCE,2026-09-23 22:45:00,2176.0,2177.0,2176.0,2177.0,93.0,0.0,1180620.0
c2611,DCE,2026-09-23 22:46:00,2177.0,2177.0,2176.0,2177.0,101.0,0.0,1180623.0
c2611,DCE,2026-09-23 22:47:00,2177.0,2177.0,2176.0,2177.0,129.0,0.0,1180623.0
c2611,DCE,2026-09-23 22:48:00,2177.0,2177.0,2176.0,2176.0,64.0,0.0,1180624.0
c2611,DCE,2026-09-23 22:49:00,2176.0,2177.0,2176.0,2177.0,35.0,0.0,1180597.0
c2611,DCE,2026-09-23 22:50:00,2177.0,2177.0,2176.0,2176.0,556.0,0.0,1180579.0
c2611,DCE,2026-09-23 22:51:00,2176.0,2177.0,2176.0,2176.0,838.0,0.0,1180437.0
c2611,DCE,2026-09-23 22:52:00,2176.0,2177.0,2176.0,2176.0,80.0,0.0,1179920.0
c2611,DCE,2026-09-23 22:53:00,2176.0,2177.0,2176.0,2177.0,211.0,0.0,1179916.0
c2611,DCE,2026-09-23 22:54:00,2177.0,2177.0,2176.0,2176.0,3432.0,0.0,1179821.0
c2611,DCE,2026-09-23 22:55:00,2176.0,2177.0,2176.0,2176.0,133.0,0.0,1180038.0
c2611,DCE,2026-09-23 22:56:00,2176.0,2177.0,2176.0,2176.0,1035.0,0.0,1180057.0
c2611,DCE,2026-09-23 22:57:00,2176.0,2177.0,2175.0,2176.0,2154.0,0.0,1179923.0
c2611,DCE,2026-09-23 22:58:00,2176.0,2176.0,2175.0,2175.0,589.0,0.0,1180185.0
c2611,DCE,2026-09-23 22:59:00,2175.0,2176.0,2175.0,2175.0,2078.0,0.0,1180154.0
c2611,DCE,2026-09-24 09:00:00,2176.0,2177.0,2174.0,2175.0,4516.0,0.0,1178672.0
c2611,DCE,2026-09-24 09:01:00,2175.0,2175.0,2173.0,2174.0,3631.0,0.0,1178956.0
c2611,DCE,2026-09-24 09:02:00,2174.0,2174.0,2173.0,2173.0,1191.0,0.0,1179094.0
c2611,DCE,2026-09-24 09:03:00,2173.0,2174.0,2172.0,2173.0,5745.0,0.0,1179107.0
c2611,DCE,2026-09-24 09:04:00,2173.0,2174.0,2172.0,2173.0,1225.0,0.0,1179445.0
c2611,DCE,2026-09-24 09:05:00,2173.0,2174.0,2173.0,2174.0,2221.0,0.0,1179264.0
c2611,DCE,2026-09-24 09:06:00,2174.0,2175.0,2173.0,2173.0,2544.0,0.0,1178951.0
c2611,DCE,2026-09-24 09:07:00,2173.0,2174.0,2173.0,2173.0,2715.0,0.0,1179090.0
c2611,DCE,2026-09-24 09:08:00,2173.0,2174.0,2172.0,2172.0,912.0,0.0,1178845.0
c2611,DCE,2026-09-24 09:09:00,2172.0,2173.0,2172.0,2173.0,1478.0,0.0,1179114.0
c2611,DCE,2026-09-24 09:10:00,2173.0,2173.0,2171.0,2171.0,2445.0,0.0,1179781.0
c2611,DCE,2026-09-24 09:11:00,2171.0,2172.0,2170.0,2171.0,3981.0,0.0,1180900.0
c2611,DCE,2026-09-24 09:12:00,2171.0,2172.0,2170.0,2171.0,1868.0,0.0,1182034.0
c2611,DCE,2026-09-24 09:13:00,2171.0,2172.0,2171.0,2172.0,1638.0,0.0,1181127.0
c2611,DCE,2026-09-24 09:14:00,2172.0,2172.0,2171.0,2171.0,709.0,0.0,1180825.0
c2611,DCE,2026-09-24 09:15:00,2171.0,2172.0,2171.0,2171.0,874.0,0.0,1181088.0
c2611,DCE,2026-09-24 09:16:00,2171.0,2173.0,2171.0,2171.0,2838.0,0.0,1181184.0
c2611,DCE,2026-09-24 09:17:00,2171.0,2172.0,2170.0,2170.0,2070.0,0.0,1180606.0
c2611,DCE,2026-09-24 09:18:00,2170.0,2172.0,2170.0,2171.0,4266.0,0.0,1180992.0
c2611,DCE,2026-09-24 09:19:00,2171.0,2172.0,2171.0,2171.0,455.0,0.0,1181191.0
c2611,DCE,2026-09-24 09:20:00,2171.0,2172.0,2170.0,2171.0,1474.0,0.0,1180977.0
c2611,DCE,2026-09-24 09:21:00,2171.0,2172.0,2171.0,2172.0,1747.0,0.0,1180902.0
c2611,DCE,2026-09-24 09:22:00,2172.0,2173.0,2172.0,2173.0,386.0,0.0,1180663.0
c2611,DCE,2026-09-24 09:23:00,2173.0,2173.0,2172.0,2172.0,917.0,0.0,1180577.0
c2611,DCE,2026-09-24 09:24:00,2172.0,2174.0,2172.0,2174.0,1543.0,0.0,1180325.0
c2611,DCE,2026-09-24 09:25:00,2174.0,2174.0,2173.0,2173.0,267.0,0.0,1180003.0
c2611,DCE,2026-09-24 09:26:00,2173.0,2174.0,2173.0,2173.0,713.0,0.0,1179942.0
