2026-09-24 11:01:01.769 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=NEUTRAL new=BULL fast=2176.5000 slow=2175.6000
2026-09-24 11:03:01.437 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BULL new=NEUTRAL fast=2176.7000 slow=2175.9000
2026-09-24 11:04:01.447 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=NEUTRAL new=BULL fast=2176.8000 slow=2176.1000
2026-09-24 11:09:01.761 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BULL new=NEUTRAL fast=2177.7000 slow=2177.1000
2026-09-24 11:10:02.307 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=NEUTRAL new=BULL fast=2178.0000 slow=2177.2000
2026-09-24 11:12:01.440 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BULL new=NEUTRAL fast=2178.2000 slow=2177.4500
2026-09-24 11:13:01.453 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=NEUTRAL new=BULL fast=2178.3000 slow=2177.5000
2026-09-24 11:15:01.764 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BULL new=NEUTRAL fast=2178.3000 slow=2177.7000
2026-09-24 11:21:01.773 | INFO | CtaStrategy | [wqk27]  [V2.7 ENTRY FILTER] regime=RANGE signal=DEATH_CROSS action=BLOCK reason=NO_TREND ADX=RANGE BB=NEUTRAL MA=NEUTRAL fast=2178.0000 slow=2178.1000
2026-09-24 11:22:01.776 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=NEUTRAL new=BULL fast=2178.1000 slow=2178.1500
2026-09-24 11:24:01.579 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=BULL new=NEUTRAL fast=2178.2000 slow=2178.3000
2026-09-24 11:27:01.454 | INFO | CtaStrategy | [wqk27]  [V2.7 ENTRY FILTER] regime=RANGE signal=GOLDEN_CROSS action=BLOCK reason=NO_TREND ADX=RANGE BB=NEUTRAL MA=NEUTRAL fast=2178.3000 slow=2178.2000
2026-09-24 11:28:01.463 | INFO | CtaStrategy | [wqk27]  [V2.7 MA] old=NEUTRAL new=BULL fast=2178.4000 slow=2178.2500
2026-09-24 11:40:27.666 | INFO | CtaStrategy | [wqk27]  DoubleMaStrategy V2.7 停止
2026-09-24 11:42:59.347 | INFO | MainEngine | 连接登录 -> CTP
2026-09-24 11:42:59.473 | INFO | CTP | 交易服务器连接成功
2026-09-24 11:42:59.501 | INFO | CTP | 行情服务器连接成功
2026-09-24 11:42:59.731 | INFO | CTP | 交易服务器授权验证成功
2026-09-24 11:42:59.731 | INFO | CTP | 行情服务器登录成功
2026-09-24 11:42:59.765 | INFO | CTP | 交易服务器登录成功
2026-09-24 11:42:59.951 | INFO | CTP | 结算信息确认成功
2026-09-24 11:43:06.324 | INFO | CTP | 合约信息查询成功
2026-09-24 11:43:46.368 | INFO | CtaStrategy | CTA策略引擎初始化成功
2026-09-24 11:44:19.845 | INFO | CtaStrategy | wqk27开始执行初始化
2026-09-24 11:44:19.846 | INFO | CtaStrategy | [wqk27]  DoubleMaStrategy V2.7 initialized ExecutionCore 2.3.1
2026-09-24 11:44:28.339 | INFO | MainEngine | 订阅行情 -> CTP：SubscribeRequest(symbol='c2611', exchange=<Exchange.DCE: 'DCE'>)
2026-09-24 11:44:28.340 | INFO | CtaStrategy | wqk27初始化完成
2026-09-24 11:44:37.083 | INFO | CtaStrategy | [wqk27]  DoubleMaStrategy V2.7 启动
2026-09-24 11:44:37.086 | INFO | CtaStrategy | [wqk27]  成交账本已加载: C:\Users\Administrator\strategies\ledger\wqk27_c2611_DCE.sqlite (0 条)
2026-09-24 11:44:37.087 | INFO | CtaStrategy | [wqk27]  已订阅 EVENT_TIMER / EVENT_POSITION
2026-09-24 11:44:37.087 | INFO | CtaStrategy | [wqk27]  持仓同步开始：策略启动
2026-09-24 11:44:37.087 | INFO | CtaStrategy | [wqk27]  已向柜台查询委托，等待回报后再对账。
